Country or area,Subregion,Region,Internet users,Population
South Sudan,Eastern Africa,Africa,1003542,10975927
Sierra Leone,Western Africa,Africa,1000575,7650150
Chad,Middle Africa,Africa,9685,15477729
Togo,Western Africa,Africa,963795,7889093
Cyprus,Western Asia,Asia,952369,1189265
Botswana,Southern Africa,Africa,948977,2254068
Namibia,Southern Africa,Africa,93345,2448301
Papua New Guinea,Melanesia,Oceania,924955,8606323
Mauritania,Western Africa,Africa,919398,4403313
Mongolia,Eastern Asia,Asia,729236,3170216
Mauritius,Eastern Africa,Africa,702911,1267185
Lesotho,Southern Africa,Africa,665312,2108328
Burundi,Eastern Africa,Africa,607311,11175374
Luxembourg,Western Europe,Europe,570794,604245
Djibouti,Eastern Africa,Africa,532849,958923
Macau China,Eastern Asia,Asia,517789,631636
Congo,Middle Africa,Africa,455055,5244359
Fiji,Melanesia,Oceania,452479,883483
Montenegro,Southern Europe,Europe,505055,627809
Gambia,Western Africa,Africa,416753,2280094
Eswatini,Southern Africa,Africa,414278,1136281
Brunei,South-eastern Asia,Asia,406705,428963
Bhutan,Southern Asia,Asia,388541,754388
Liberia,Western Africa,Africa,377607,4818973
East Timor,South-eastern Asia,Asia,356356,1267974
Malta,Southern Europe,Europe,34497,439248
Bahamas,Caribbean,Americas,336057,385637
Equatorial Guinea,Middle Africa,Africa,332642,1308975
Iceland,Northern Europe,Europe,329196,336713
Cabo Verde,Western Africa,Africa,312315,543767
Somalia,Eastern Africa,Africa,294851,15008226
Guyana,South America,Americas,290375,779006
Suriname,South America,Americas,275785,57599
Maldives,Southern Asia,Asia,275717,515696
Barbados,Caribbean,Americas,233604,286641
New Caledonia,Melanesia,Oceania,226557,279993
French Polynesia,Polynesia,Oceania,205746,277679
Central African Republic,Middle Africa,Africa,202204,4666368
Belize,Central America,Americas,1764,383071
Guam,Micronesia,Oceania,132221,165768
Aruba (Netherlands),Caribbean,Americas,102285,105845
Saint Lucia,Caribbean,Americas,90889,181889
Antigua and Barbuda,Caribbean,Americas,77529,96286
Andorra,Southern Europe,Europe,76095,77006
Guinea-Bissau,Western Africa,Africa,73148,1874303
